Title (Tab selection),First Name,Last Name,D.O.B,Marital Status (Tab selection),Email address,Mobile No.,Residential Status  (Tab selection),FLAT,HOUSENAME,HOUSENUMBER,STREET,DISTRICT,POSTTOWN,COUNTY,POSTCODE,Time at current address (has been changed to toggle for COAPI),Time at previous address (only if time at current address is less than 3 years),PA_ADDRESS_TYPE,PA_FLAT,PA_HOUSENAME,PA_HOUSENUMBER,PA_STREET,PA_DISTRICT,PA_POSTTOWN,PA_COUNTY,PA_POSTCODE,Employment status (Tab selection),Income,Essential living costs,Accomodation costs,No. of financial dependants,Sustainability Question (DO you expect your financial situation..),Immediate Cash withdrawal/Money transfer ,Bank Account Number,Sort code,Other household income/Partner's income,Initial Spend,Full Address,username,password
MRS,LOUISE,AAKHTAR,8/14/1994,M,,,O,FLAT 1/1,,33.0,ARGYLE STREET,,LOSSIEMOUTH,MORAYSHIRE,IV316AP,506,,,,,,,,,,,E,65000,1000,500,2,N,N,12345677,4,12000,400,"FLAT 1/1 33.0 ARGYLE STREET, IV316AP LOSSIEMOUTH MORAYSHIRE",louiseaakhtar,Xd8zA238SuDr
MISS,KELLIE,ABBASI,11/21/1998,S,,,J,,,1.0,DRAKE ROAD,,LEE ON THE SOLENT,HANTS,PO139NS,507,,,,,,,,,,,N,65000,1000,500,2,N,N,12345677,4,12000,400,"1.0 DRAKE ROAD, PO139NS LEE ON THE SOLENT HANTS",kellieabbasi,whUXO1FaSOfx
MR,ANDREW,ABBOTT,7/14/1969,D,,,F,,ARDGOWAN HOUSE,,ACHANDUNIE,ARDROSS,ALNESS,ROSSSHIRE,IV170YB,203,500.0,T,FLAT C41,HERBAL HILL GARDENS,3.0,BALNACOUL ROAD,MOSSTODLOCH,FOCHABERS,MORAYSHIRE,IV327LP,S,65000,1000,500,2,N,N,12345677,4,12000,400,"ARDGOWAN HOUSE, ACHANDUNIE, ARDROSS, IV170YB ALNESS ROSSSHIRE",andrewabbott,xnEIXSCnXKj0
MR,LAURENCE,ABBOTT,4/6/1982,W,,,U,,,3.0,ARLECDON PARKS ROAD,ARLECDON,FRIZINGTON,CUMBRIA,CA263XG,501,,,,,,,,,,,H,65000,1000,500,2,N,N,12345677,4,12000,400,"3.0 ARLECDON PARKS ROAD, ARLECDON, CA263XG FRIZINGTON CUMBRIA",laurenceabbott,Kd8KOfDnac9h
MR,ALLAN,ABDUL,2/14/1986,C,,,C,,,1.0,CARNEBY HOUSE,THE ESPLANADE,FRINTON ON SEA,ESSEX,CO139HJ,602,,,,,,,,,,,R,65000,1000,500,2,N,Y,12345677,4,12000,400,"1.0 CARNEBY HOUSE, THE ESPLANADE, CO139HJ FRINTON ON SEA ESSEX",allanabdul,yX7uwbwORoKo
MR,RICHARD,ABDUL,5/14/1967,X,,,S,,,1.0,ABBOTS DRIVE,ABBOTSWOOD,BALLASALLA,I O M,IM9 3EB,103,306.0,O,FLAT 801,LANDMARK HEIGHTS,1.0,CLIFTON MANSIONS,CLIFTON ROAD,FOLKESTONE,KENT,CT202EJ,U,65000,1000,500,2,N,N,12345677,4,12000,400,"1.0 ABBOTS DRIVE, ABBOTSWOOD, IM9 3EB BALLASALLA I O M",richardabdul,qZXMhlNFXkIF
MRS,JOAN,ABDULAZIZ,4/3/1961,Z,,,P,,,1.0,BIRCH PARK,COALWAY,COLEFORD,GLOS,GL167RU,804,,,,,,,,,,,X,65000,1000,500,2,N,N,12345677,4,12000,400,"1.0 BIRCH PARK, COALWAY, GL167RU COLEFORD GLOS",joanabdulaziz,zQEKOrEIvUGb
MRS,PETRA,ABDULLAHY,7/29/1982,Q,,,T,,,3.0,ABERY STREET,,LONDON SE18,,SE181DB,905,,,,,,,,,,,Z,65000,1000,500,2,N,N,12345677,4,12000,400,"3.0 ABERY STREET, SE181DB LONDON SE18 ",petraabdullahy,Y6Q5zykv9wk8
MR,TOM,ABDULLAHY,12/17/1977,M,,,X,,,1.0,ANDREW TERRACE,LLANHILLETH,ABERTILLERY,GWENT,NP132JL,1006,,,,,,,,,,,E,65000,1000,500,2,N,N,12345677,4,12000,400,"1.0 ANDREW TERRACE, LLANHILLETH, NP132JL ABERTILLERY GWENT",tomabdullahy,uZIioKch4pnq
MRS,CHARLOTTE,ABDUL-SALAM,1/10/1954,S,,,O,FLAT 6,AN NANIAN,1.0,ABINGER GARDENS,,ISLEWORTH,MIDDX,TW7 6LG,207,400.0,T,FLAT A,EASTEN PARADISE,1.0,BEECH COTTAGE,FORGE HILL,LYDBROOK,GLOS,GL179QS,N,65000,1000,500,2,N,N,12345677,4,12000,400,"FLAT 6 1.0 AN NANIAN, ABINGER GARDENS, TW7 6LG ISLEWORTH MIDDX",charlotteabdul-salam,oGKVxpG4K9la
