SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,effort,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
1,0.7661266090000001,45,2,"(0.00649, 0.04]",9120.0,13,0,6,0,2.0
0,0.9571510190000001,40,0,"(0.000309, 0.00134]",2600.0,4,0,0,0,1.0
0,0.65818014,38,1,"(0.000309, 0.00134]",3042.0,2,1,0,0,0.0
0,0.23380977600000002,30,0,"(0.000309, 0.00134]",3300.0,5,0,0,0,0.0
0,0.9072394,49,1,"(-0.001, 0.000309]",63588.0,7,0,1,0,0.0
0,0.21317868199999998,74,0,"(0.00367, 0.00468]",3500.0,3,0,1,0,1.0
0,0.305682465,57,0,"(12.67, 3296.64]",,8,0,3,0,0.0
0,0.754463648,39,0,"(0.00134, 0.00214]",3500.0,8,0,0,0,0.0
0,0.116950644,27,0,"(0.04, 12.67]",,2,0,0,0,
0,0.189169052,57,0,"(0.00468, 0.00649]",23684.0,9,0,4,0,2.0
0,0.644225962,30,0,"(0.00287, 0.00367]",2500.0,5,0,0,0,0.0
0,0.01879812,51,0,"(0.00468, 0.00649]",6501.0,7,0,2,0,2.0
0,0.010351856999999999,46,0,"(0.00287, 0.00367]",12454.0,13,0,2,0,2.0
1,0.964672555,40,3,"(0.00367, 0.00468]",13700.0,9,3,1,1,2.0
0,0.019656581,76,0,"(0.04, 12.67]",0.0,6,0,1,0,0.0
0,0.548458062,64,0,"(0.00134, 0.00214]",11362.0,7,0,1,0,2.0
0,0.061086117999999995,78,0,"(12.67, 3296.64]",,10,0,2,0,0.0
0,0.166284079,53,0,"(0.00134, 0.00214]",8800.0,7,0,0,0,0.0
0,0.22181277100000002,43,0,"(0.00468, 0.00649]",3280.0,7,0,1,0,2.0
0,0.602794411,25,0,"(0.000309, 0.00134]",333.0,2,0,0,0,0.0
0,0.20092338199999998,43,0,"(0.00367, 0.00468]",12300.0,10,0,2,0,0.0
1,0.025655677,38,0,"(0.00468, 0.00649]",3000.0,7,0,1,0,2.0
0,0.9999998999999999,39,0,"(0.00214, 0.00287]",2500.0,4,0,0,0,0.0
0,0.075426584,32,0,"(0.000309, 0.00134]",7916.0,6,0,0,0,0.0
0,0.04656027,58,0,"(0.00214, 0.00287]",2416.0,9,0,1,0,0.0
1,0.392248482,50,0,"(0.00649, 0.04]",4676.0,14,0,3,0,1.0
0,0.052436094,58,0,"(0.000309, 0.00134]",8333.0,22,0,1,0,0.0
0,0.034421473,69,0,"(0.000309, 0.00134]",2500.0,17,0,0,0,1.0
0,0.45251582799999995,24,0,"(-0.001, 0.000309]",3400.0,1,0,0,0,0.0
0,0.39299458600000003,58,2,"(0.00367, 0.00468]",5500.0,15,0,1,0,0.0
0,0.704073982,28,1,"(0.00134, 0.00214]",4200.0,8,0,0,0,0.0
0,0.9999998999999999,24,0,"(0.00468, 0.00649]",750.0,1,0,0,0,0.0
0,0.083418009,62,0,"(0.04, 12.67]",,6,0,1,0,0.0
0,0.18686855600000002,57,0,"(0.00287, 0.00367]",7000.0,9,0,2,0,0.0
