	Unnamed: 0	trans_id	account_id	date	type	operation	amount	balance	k_symbol	bank	account	mean_income
0	0	695247	2378	1993-01-01	1	2.0	700.0	700.0				[ 11271.53754941]
1	1	695250	2378	1993-01-22	1	2.0	7268.0	7968.0				[ 11271.53754941]
2	2	695266	2378	1993-01-23	1	2.0	14440.0	22408.0				[ 11271.53754941]
3	3	695262	2378	1993-01-24	1	2.0	49752.0	72160.0				[ 11271.53754941]
4	4	695265	2378	1993-01-26	1	2.0	21899.0	94059.0				[ 11271.53754941]
5	5	695560	2378	1993-01-31	0	3.0	34700.0	59453.7				[ 11271.53754941]
6	6	3608592	2378	1993-01-31	1		94.7	94153.7	2			[ 11271.53754941]
7	15	695563	2378	1993-02-02	0	3.0	21400.0	50037.8				[ 11271.53754941]
8	16	695254	2378	1993-02-03	1	2.0	7077.0	57114.8				[ 11271.53754941]
9	17	695341	2378	1993-02-07	0	0.0	9612.0	47502.8	4	EF	1222903.0	[ 11271.53754941]
10	27	695565	2378	1993-03-01	0	3.0	22700.0	45497.0				[ 11271.53754941]
11	28	695264	2378	1993-03-02	1	2.0	42538.0	88035.0				[ 11271.53754941]
12	29	695343	2378	1993-03-07	0	0.0	9612.0	78423.0	4	EF	1222903.0	[ 11271.53754941]
13	30	695255	2378	1993-03-08	1	2.0	13944.0	92367.0				[ 11271.53754941]
14	31	695261	2378	1993-03-18	1	2.0	41179.0	133546.0				[ 11271.53754941]
15	32	695566	2378	1993-03-18	0	3.0	25700.0	107846.0				[ 11271.53754941]
16	33	695567	2378	1993-03-19	0	3.0	50600.0	100883.0				[ 11271.53754941]
17	34	695256	2378	1993-03-19	1	2.0	43637.0	151483.0				[ 11271.53754941]
18	35	695252	2378	1993-03-22	1	2.0	31609.0	132492.0				[ 11271.53754941]
19	36	695568	2378	1993-03-22	0	3.0	60000.0	72492.0				[ 11271.53754941]
20	37	695569	2378	1993-03-31	0	3.0	24500.0	48426.0				[ 11271.53754941]
21	38	695493	2378	1993-03-31	0	3.0	14.6	72926.0	1			[ 11271.53754941]
22	39	3608596	2378	1993-03-31	1		448.7	72940.6	2			[ 11271.53754941]
23	45	695260	2378	1993-04-06	1	2.0	27498.0	81796.6				[ 11271.53754941]
24	46	695345	2378	1993-04-07	0	0.0	9612.0	72184.6	4	EF	1222903.0	[ 11271.53754941]
25	47	695571	2378	1993-04-30	0	3.0	34500.0	66076.6				[ 11271.53754941]
26	48	695462	2378	1993-04-30	0	3.0	5400.0	60676.6				[ 11271.53754941]
27	49	695248	2378	1993-04-30	1	2.0	28392.0	100576.6				[ 11271.53754941]
28	61	695347	2378	1993-05-07	0	0.0	9612.0	45476.8	4	EF	1222903.0	[ 11271.53754941]
29	62	695263	2378	1993-05-15	1	2.0	18422.0	63898.8				[ 11271.53754941]
30	63	695249	2378	1993-05-24	1	2.0	37840.0	101738.8				[ 11271.53754941]
31	64	695411	2378	1993-05-26	VYBER	3.0	8850.0	92888.8				[ 11271.53754941]
32	65	695574	2378	1993-05-28	0	3.0	34400.0	58488.8				[ 11271.53754941]
33	66	695497	2378	1993-05-30	0	3.0	14.6	58738.9	1			[ 11271.53754941]
